# Matter power spectrum P(k) at redshift z=0
# for k=9.39328e-06 to 1.4903 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.393281830955e-06       5.576526991034e+01 
       1.182544119713e-05       6.947860019671e+01 
       1.488734842875e-05       8.656483324913e+01 
       1.874206125119e-05       1.078556495319e+02 
       2.359485717852e-05       1.343845742863e+02 
       2.970416528969e-05       1.674448449749e+02 
       3.739532851933e-05       2.086512999951e+02 
       4.707792935537e-05       2.600209833190e+02 
       5.926760160013e-05       3.240823987682e+02 
       7.461348975050e-05       4.040148493927e+02 
       9.393281830955e-05       5.038392283353e+02 
       1.182544119713e-04       6.286750376480e+02 
       1.488734842875e-04       7.851049487451e+02 
       1.874206125119e-04       9.817395634278e+02 
       2.359485717852e-04       1.230046707575e+03 
       2.970416528969e-04       1.545630162725e+03 
       3.739532851933e-04       1.950078165303e+03 
       4.707792935537e-04       2.473358611345e+03 
       5.926760160013e-04       3.155874723147e+03 
       7.461348975050e-04       4.047838728111e+03 
       9.393281830955e-04       5.202399264924e+03 
       1.182544119713e-03       6.663846234502e+03 
       1.488734842875e-03       8.464127098814e+03 
       1.874206125119e-03       1.063336449350e+04 
       2.359485717852e-03       1.319974418921e+04 
       2.970416528969e-03       1.617488027702e+04 
       3.739532851933e-03       1.953833375142e+04 
       4.707792935537e-03       2.322112525950e+04 
       5.926760160013e-03       2.708731958112e+04 
       7.461348975050e-03       3.090056311176e+04 
       9.393281830955e-03       3.431960878667e+04 
       1.182544119713e-02       3.685896525751e+04 
       1.488734842872e-02       3.796965465885e+04 
       1.874206110350e-02       3.701198271618e+04 
       2.359474443067e-02       3.376397551005e+04 
       2.968852275264e-02       2.868338733844e+04 
       3.687366229249e-02       2.351252701998e+04 
       4.293953782215e-02       2.049347270970e+04 
       4.733724597358e-02       1.897757691110e+04 
       5.096246855571e-02       1.801546858233e+04 
       5.419865062627e-02       1.728094549706e+04 
       5.721659672825e-02       1.663601913752e+04 
       6.010665664036e-02       1.601300832064e+04 
       6.292298116387e-02       1.537576708085e+04 
       6.570112832295e-02       1.470662310837e+04 
       6.846615162817e-02       1.400021817425e+04 
       7.123673882994e-02       1.326243758358e+04 
       7.402751105492e-02       1.250574456699e+04 
       7.685038482143e-02       1.174743517333e+04 
       7.971542153162e-02       1.100719595956e+04 
       8.263138000164e-02       1.030486923851e+04 
       8.560608847673e-02       9.658129671824e+03 
       8.864670236625e-02       9.080682164693e+03 
       9.175988705082e-02       8.580525749783e+03 
       9.495195003469e-02       8.159474736175e+03 
       9.822893791487e-02       7.811922191991e+03 
       1.015967083250e-01       7.526197101312e+03 
       1.050609837095e-01       7.284495777334e+03 
       1.086273916839e-01       7.065153269084e+03 
       1.123014953716e-01       6.844775226081e+03 
       1.160888162131e-01       6.602170520396e+03 
       1.199948511458e-01       6.322215933944e+03 
       1.240250856583e-01       6.000224015828e+03 
       1.281850039557e-01       5.642445694294e+03 
       1.324800973032e-01       5.265863042894e+03 
       1.369158715004e-01       4.893866321172e+03 
       1.414978543654e-01       4.550488921093e+03 
       1.462316040673e-01       4.254320113906e+03 
       1.511227191140e-01       4.014122205562e+03 
       1.561768507844e-01       3.826304225605e+03 
       1.613997187862e-01       3.675603523459e+03 
       1.667971309071e-01       3.540119288797e+03 
       1.723750074275e-01       3.396556216735e+03 
       1.781394110640e-01       3.227108055600e+03 
       1.840965832245e-01       3.029391458873e+03 
       1.902529873855e-01       2.816937388495e+03 
       1.966153604548e-01       2.611174234240e+03 
       2.031907730703e-01       2.430502701188e+03 
       2.099866999160e-01       2.283912805602e+03 
       2.170111013361e-01       2.168063008965e+03 
       2.242725177963e-01       2.068010856781e+03 
       2.317801791231e-01       1.965435566019e+03 
       2.395441309545e-01       1.849984540121e+03 
       2.475753815151e-01       1.724052517190e+03 
       2.558860727221e-01       1.600172086740e+03 
       2.644896808124e-01       1.492040771540e+03 
       2.734012532490e-01       1.403121365401e+03 
       2.826376907533e-01       1.325858705748e+03 
       2.922180861132e-01       1.249333704038e+03 
       3.021641352170e-01       1.167659410395e+03 
       3.125006409819e-01       1.085218284732e+03 
       3.232561380973e-01       1.009827556980e+03 
       3.344636767347e-01       9.446374715779e+02 
       3.461618180436e-01       8.849242985874e+02 
       3.583959156281e-01       8.251658800896e+02 
       3.712197889506e-01       7.654558511636e+02 
       3.846979427217e-01       7.097643474433e+02 
       3.989085608732e-01       6.591534751935e+02 
       4.139476220549e-01       6.111361786124e+02 
       4.299346766210e-01       5.637626026398e+02 
       4.470211495990e-01       5.186312132503e+02 
       4.654025985350e-01       4.765588980515e+02 
       4.853373749804e-01       4.356594711829e+02 
       5.071760629000e-01       3.960949067573e+02 
       5.314098822922e-01       3.581837424749e+02 
       5.587542443958e-01       3.210114121422e+02 
       5.903015040822e-01       2.846263545538e+02 
       6.278196747773e-01       2.483786843144e+02 
       6.743831964851e-01       2.118182343532e+02 
       7.358123187307e-01       1.741545741603e+02 
       8.240743780645e-01       1.346573836471e+02 
       9.636063560716e-01       9.395347689308e+01 
       1.185781318962e+00       5.782301965458e+01 
       1.490303735709e+00       3.354757820382e+01 
