# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.39328e-06 to 1.4903 h/Mpc,
# number of wavenumbers equal to 114
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_tot              
       9.393281830955e-06      -1.165256559517e-03      -8.744582736877e-04      -8.744582960594e-04      -1.165242248351e-03       3.481265946476e-01       0.000000000000e+00      -2.239667996231e-04       4.240572520823e-01       4.239114641867e-01       1.748916592119e-03       1.320324413516e-07       1.000039619408e+00       1.634006851297e-08       1.599593353406e-10      -3.295324757674e-14      -1.418906211590e-10      -1.827975335347e-15      -1.442388133157e-10      -5.484735118211e-14 
       1.182544119713e-05      -1.846181609517e-03      -1.385931789999e-03      -1.385931846191e-03      -1.846145670063e-03       5.517208295127e-01       0.000000000000e+00      -3.549656736572e-04       4.240741765767e-01       4.239284525813e-01       2.771863692382e-03       2.092681861860e-07       1.000062790078e+00       2.589611032155e-08       2.534202491435e-10      -5.220773668807e-14      -3.563359543295e-10      -4.591257538533e-15      -3.622318913123e-10      -1.377403898436e-13 
       1.488734842875e-05      -2.924429680895e-03      -2.196575885481e-03      -2.196576026616e-03      -2.924339439256e-03       8.743588008996e-01       0.000000000000e+00      -5.625882140308e-04       4.241032749034e-01       4.239576521842e-01       4.393152053232e-03       3.316923851672e-07       1.000099509187e+00       4.103973353315e-08       4.013973566007e-10      -8.269435747156e-14      -8.947683615537e-10      -1.153101438081e-14      -9.095685014886e-10      -3.458691134626e-13 
       1.874206125119e-05      -4.630996209570e-03      -3.481416986806e-03      -3.481417341269e-03      -4.630769670105e-03       1.385596320786e+00       0.000000000000e+00      -8.916621489529e-04       4.241456905564e-01       4.240002278826e-01       6.962834682537e-03       5.257682784649e-07       1.000157690756e+00       6.503589292224e-08       6.355557254642e-10      -1.309385775433e-13      -2.246338776701e-09      -2.895805616355e-14      -2.283475985278e-09      -8.683116304254e-13 
       2.359485717852e-05      -7.329761774645e-03      -5.517831427814e-03      -5.517832317989e-03      -7.329193288743e-03       2.195639576486e+00       0.000000000000e+00      -1.413228894596e-03       4.242147340563e-01       4.240695252020e-01       1.103566463598e-02       8.334557382267e-07       1.000249878182e+00       1.030564703485e-07       1.005736317611e-09      -2.072134326444e-13      -5.637690753865e-09      -7.271304205952e-14      -5.730818915111e-09      -2.179216229716e-12 
       2.970416528969e-05      -1.159214551613e-02      -8.745582093289e-03      -8.745584328536e-03      -1.159071977627e-02       3.478892198558e+00       0.000000000000e+00      -2.239919820081e-03       4.243274455699e-01       4.241826383782e-01       1.749116865707e-02       1.321349292644e-06       1.000395911204e+00       1.632871857591e-07       1.590094326977e-09      -3.276334042771e-13      -1.414193082167e-08      -1.825432950839e-13      -1.437523448062e-08      -5.466454279126e-12 
       3.739532851933e-05      -1.831037281767e-02      -1.386189067000e-02      -1.386189628152e-02      -1.830680013007e-02       5.511182909950e+00       0.000000000000e+00      -3.550305314395e-03       4.245043270211e-01       4.243601544070e-01       2.772379256304e-02       2.095246475963e-06       1.000627173126e+00       2.586753002977e-07       2.510389874340e-09      -5.173168329611e-13      -3.544622997285e-08      -4.581159254825e-13      -3.602981379692e-08      -1.370136793014e-11 
       4.707792935537e-05      -2.886493091782e-02      -2.197228283480e-02      -2.197229691752e-02      -2.885599073703e-02       8.728442267224e+00       0.000000000000e+00      -5.627527107617e-03       4.247786208887e-01       4.246354495136e-01       4.394459383503e-02       3.323435569625e-06       1.000993261981e+00       4.096772669632e-07       3.954332249903e-09      -8.150199064848e-13      -8.873240948328e-08      -1.149088188268e-12      -9.018861141344e-08      -3.429819019526e-11 
       5.926760160013e-05      -4.536055954026e-02      -3.483034024687e-02      -3.483037557020e-02      -4.533823732234e-02       1.381820498023e+01       0.000000000000e+00      -8.920698124885e-03       4.252169175868e-01       4.250753225541e-01       6.966075114040e-02       5.273956930127e-06       1.001572352219e+00       6.485566359113e-07       6.206364938223e-09      -1.279555999704e-12      -2.216788437274e-07      -2.879843943838e-12      -2.252983303513e-07      -8.568511243408e-11 
       7.461348975050e-05      -7.092784603790e-02      -5.521887999006e-02      -5.521896851630e-02      -7.087230667664e-02       2.186159511257e+01       0.000000000000e+00      -1.414251663879e-02       4.259134608418e-01       4.257743371985e-01       1.104379370326e-01       8.375234098157e-06       1.002487358790e+00       1.026048107386e-06       9.685171449524e-09      -1.997709168406e-12      -5.520616780890e-07      -7.207930509940e-12      -5.610023229283e-07      -2.133813065142e-10 
       9.393281830955e-05      -1.100282332358e-01      -8.755757670660e-02      -8.755779827548e-02      -1.098908161192e-01       3.455133620270e+01       0.000000000000e+00      -2.242485723147e-02       4.270036993809e-01       4.268684254649e-01       1.751155965510e-01       1.331571690504e-05       1.003930496012e+00       1.621548796645e-06       1.497616524046e-08      -3.091377595130e-12      -1.367939920547e-06      -1.800310926515e-11      -1.389805624190e-06      -5.287084743304e-10 
       1.182544119713e-04      -1.685332465947e-01      -1.388735313785e-01      -1.388740847636e-01      -1.681962583275e-01       5.451737048240e+01       0.000000000000e+00      -3.556727291041e-02       4.287205586771e-01       4.285912204280e-01       2.777481695273e-01       2.120831181059e-05       1.006200164461e+00       2.558427485962e-06       2.282064190251e-08      -4.716381251423e-12      -3.362700352971e-06      -4.481771388831e-11      -3.415322998956e-06      -1.299590335355e-09 
       1.488734842875e-04      -2.529553181104e-01      -2.203578699078e-01      -2.203592474728e-01      -2.521405377800e-01       8.579983892903e+01       0.000000000000e+00      -5.643548446848e-02       4.314101976813e-01       4.312898635747e-01       4.407184949456e-01       3.387185566905e-05       1.009753913687e+00       4.026128092521e-06       3.396229839650e-08      -7.033141201409e-12      -8.162717101963e-06      -1.109940918959e-10      -8.286087003594e-06      -3.154308894487e-09 
       1.874206125119e-04      -3.674304193543e-01      -3.498813172519e-01      -3.498847286187e-01      -3.655045532549e-01       1.344879991374e+02       0.000000000000e+00      -8.960525462355e-02       4.355930895828e-01       4.354860588634e-01       6.997694572373e-01       5.432231363955e-05       1.015279009713e+00       6.310047139395e-06       4.863723494111e-08      -1.010621008661e-11      -1.942345682107e-05      -2.726563177341e-10      -1.970037496558e-05      -7.504453717575e-09 
       2.359485717852e-04      -5.059531282955e-01      -5.560843305057e-01      -5.560927094905e-01      -5.015638548255e-01       2.094769562862e+02       0.000000000000e+00      -1.424091076304e-01       4.420271115097e-01       4.419389100439e-01       1.112185418981e+00       8.765624559906e-05       1.023774296652e+00       9.827138598416e-06       6.535329223003e-08      -1.366022025592e-11      -4.478885028032e-05      -6.613411634758e-10      -4.536563001672e-05      -1.729983992782e-08 
       2.970416528969e-04      -6.375323310304e-01      -8.850931532787e-01      -8.851134732185e-01      -6.281027561956e-01       3.230964772143e+02       0.000000000000e+00      -2.266549840041e-01       4.517526211409e-01       4.516892361659e-01       1.770226946437e+00       1.426808526969e-04       1.036611737910e+00       1.515629415756e-05       7.873561229267e-08      -1.664161306468e-11      -9.831390264813e-05      -1.573089673921e-09      -9.936041675514e-05      -3.795783381844e-08 
       3.739532851933e-04      -6.895929557375e-01      -1.411618451919e+00      -1.411666770744e+00      -6.712162834559e-01       4.909306589506e+02       0.000000000000e+00      -3.614671335164e-01       4.660706116237e-01       4.660361590072e-01       2.823333541488e+00       2.349424762055e-04       1.055495686677e+00       2.303477967559e-05       7.767898256614e-08      -1.681720161145e-11      -1.999864007453e-04      -3.632813982358e-09      -2.013892959892e-04      -7.716339584011e-08 
       4.707792935537e-04      -5.627742489575e-01      -2.257296443948e+00      -2.257407968275e+00      -5.324230518787e-01       7.294193776856e+02       0.000000000000e+00      -5.779841119450e-01       4.863117609404e-01       4.863041768037e-01       4.514815936550e+00       3.922512956661e-04       1.082155848179e+00       3.426566678756e-05       4.970116160404e-08      -1.155921601961e-11      -3.633982882830e-04      -8.033493449716e-09      -3.638353071230e-04      -1.400979048814e-07 
       5.926760160013e-04      -2.459685661372e-01      -3.620407331730e+00      -3.620653672177e+00      -2.087845206479e-01       1.049328434264e+03       0.000000000000e+00      -9.269775404015e-01       5.132772760133e-01       5.132845411349e-01       7.241307344355e+00       6.640728908698e-04       1.117570018647e+00       4.948054108094e-05       1.696796761448e-09      -1.882199766662e-12      -5.704956856747e-04      -1.672688651789e-08      -5.664126252030e-04      -2.198057086503e-07 
